English,Thai
food,อาหาร
none,ไม่มี
drive,ขับ
feelings,ความรู้สึก
they'll,พวกเขาจะ
worked,ทำงาน
marry,แต่งงาน
light,แสงสว่าง
test,ทดสอบ
drop,หยด
cannot,ไม่ได้
Frank,ตรงไปตรงมา
sent,ส่งแล้ว
city,เมือง
dream,ฝัน
protect,ปกป้อง
twenty,ยี่สิบ
class,ระดับ
Lucy,ลูซี่
surprise,เซอร์ไพรส์
its,ของมัน
sweetheart,หวานใจ
forever,ตลอดไป
poor,ยากจน
looked,มองดู
mad,โกรธ
except,ยกเว้น
gun,ปืน
y'know,คุณรู้
dance,เต้นรำ
takes,ใช้เวลา
appreciate,ชื่นชม
especially,โดยเฉพาะ
situation,สถานการณ์
besides,นอกจาก
weeks,หลายสัปดาห์
pull,ดึง
himself,ตัวเขาเอง
hasn't,ไม่ได้
act,กระทำ
worth,คุณค่า
Sheridan,เชอริแดน
amazing,อัศจรรย์
top,สูงสุด
given,ที่ให้ไว้
expect,คาดหวัง
Ben,เบ็น
rather,ค่อนข้าง
Julian,จูเลียน
involved,ที่เกี่ยวข้อง
swear,สาบาน
piece,ชิ้นส่วน
busy,ยุ่ง
law,กฎ
decided,ตัดสินใจแล้ว
black or Black,ดำหรือดำ
Joey,โจอี้
happening,การเกิดขึ้น
movie,ภาพยนตร์
we'd,พุธ
catch,จับ
Antonio,อันโตนิโอ
country,ประเทศ
less,น้อย
perhaps,บางที
step,ขั้นตอน
fall,ตก
watching,การรับชม
kept,เก็บไว้
darling,ที่รัก
dog,สุนัข
Ms .,นางสาว .
win,ชนะ
air,อากาศ
honor,ให้เกียรติ
personal,ส่วนตัว
moving,การเคลื่อนไหว
till,จนถึง
admit,ยอมรับ
problems,ปัญหา
murder,การฆาตกรรม
strong,แข็งแกร่ง
he'd,เขา
evil,ความชั่วร้าย
definitely,อย่างแน่นอน
feels,ความรู้สึก
information,ข้อมูล
honest,ซื่อสัตย์
eye,ดวงตา
broke,แตกหัก
missed,ไม่ได้ผล
longer,อีกต่อไป
dollars,เงินดอลลาร์
tired,เหนื่อย
Jason,เจสัน
George,จอร์จ
evening,ตอนเย็น
human,มนุษย์
starting,ที่เริ่มต้น
Ross,รอส
red,สีแดง
entire,ทั้งหมด
trip,การเดินทาง
Brooke,บรู๊ค
E .,ก.
club,คลับ
Niles,ไนล์
suppose,สมมติ
calm,เงียบสงบ
imagine,จินตนาการ
Todd,ทอดด์
fair,ยุติธรรม
caught,จับได้
B .,ข.
blame,ตำหนิ
street,ถนน
sitting,การนั่ง
favor,ความโปรดปราน
apartment,อพาร์ทเม้น
court,ศาล
terrible,ย่ำแย่
clean,ทำความสะอาด
Tony or tony,โทนี่หรือโทนี่
learn,เรียนรู้
Alison,อลิสัน
Rick,ริก
works,ผลงาน
Rose or rose,กุหลาบหรือดอกกุหลาบ
Frasier,เครื่องราง
relax,ผ่อนคลาย
York,ยอร์ค
million,ล้าน
charity,การกุศล
accident,อุบัติเหตุ
wake,ตื่น
prove,พิสูจน์
Danny,แดนนี่
smart,ปราดเปรื่อง
message,ข้อความ
missing,หายไป
forgot,ลืม
small,เล็ก
interested,สนใจ
table,โต๊ะ
nbsp,nbsp
become,กลายเป็น
Craig,เครก
mouth,ปาก
pregnant,ตั้งครรภ์
middle,กลาง
Billy or billy,บิลลี่หรือบิลลี่
ring,แหวน
careful,ระมัดระวัง
shall,จะ
dude,เพื่อน
team,ทีม
ride,ขี่
figured,ที่คิด
wear,สวมใส่
shoot,ยิง
stick,ติด
Ray or ray,เรย์หรือเรย์
follow,ติดตาม
Bo,บ่อ
angry,โกรธ
instead,แทน
buddy,เพื่อน
write,เขียน
stopped,หยุด
early,แต่แรก
Angel or angel,นางฟ้าหรือนางฟ้า
Nick or nick,นิคหรือนิค
ran,วิ่ง
war,สงคราม
standing,ยืน
forgive,ให้อภัย
jail,คุก
wearing,น่าเหนื่อยหน่าย
Miguel,มิเกล
ladies,ผู้หญิง
kinda,เล็กน้อย
lunch,อาหารกลางวัน
Cristian,ชาวคริสเตีย
eight,แปด
Greenlee,สีเขียว
gotten,ได้รับ
hoping,ความหวัง
Phoebe,ฟาบี
thousand,พัน
ridge,สันเขา
music,ดนตรี
Luke,ลุค
paper,กระดาษ
tough,ยาก
tape,เทป
Emily,เอมิลี่
state,สถานะ
count,นับ
college,วิทยาลัย
boyfriend,แฟน
proud,ภูมิใจ
agree,เห็นด้วย
birthday,วันเกิด
bill,ใบแจ้งหนี้
seven,เจ็ด
they've,พวกเขาได้
Timmy,ทิมมี
history,ประวัติศาสตร์
share,แบ่งปัน
offer,เสนอ
hurry,รีบ
ow,โอ๊ย
feet,เท้า
wondering,ที่สงสัย
simple,เรียบง่าย
decision,การตัดสินใจ
building,อาคาร
ones,คน
finish,เสร็จ
voice,เสียง
herself,ตัวเอง
Chris,คริส
would've,จะได้
list,รายการ
Kay,เคย์
mess,ความยุ่งเหยิง
deserve,สมควรได้รับ
evidence,หลักฐาน
cute,น่ารัก
Jerry,เจอร์รี่
dress,ชุด
Richard,ริชาร์ด
interesting,น่าสนใจ
Jesus,พระเยซู
James,เจมส์
hotel,โรงแรม
enjoy,สนุก
Ryan,ไรอัน
Lindsay,ลินด์เซย์
quiet,เงียบ
concerned,น่ากังวล
road,ถนน
Eve or eve,อีฟหรืออีฟ
staying,การอยู่
short,สั้น
M .,ม.
beat,ตี
sweetie,ที่รัก
mention,กล่าวถึง
clothes,เสื้อผ้า
finished,ที่เสร็จเรียบร้อย
fell,ล้ม
neither,ไม่ใช่ทั้งสองอย่าง
mmm,อืมมม
fix,แก้ไข
Victor or victor,ผู้ชนะหรือผู้ชนะ
respect,เคารพ
spent,ค่าใช้จ่าย
prison,คุก
attention,ความสนใจ
holding,การยึดครอง
calls,การโทร
near,ใกล้
surprised,น่าประหลาดใจ
bar,บาร์
Beth,เบ ธ
pass,ผ่าน
keeping,การเก็บรักษา
gift,ของขวัญ
hadn't,ไม่ได้
putting,การใส่
dark,มืด
self,ตัวเอง
owe,เป็นหนี้
using,โดยใช้
Nora,นอร่า
ice,น้ำแข็ง
helping,การช่วยเหลือ
bitch,ผู้หญิงเลว
normal,ปกติ
aunt,ป้า
lawyer,ทนายความ
apart,ห่างกัน
certain,แน่ใจ
plans,แผน
Jax,คนขี้ขลาด
girlfriend,แฟน
floor,พื้น
whether,ไม่ว่า
everything 's,ทุกสิ่ง
present,ปัจจุบัน
earth,โลก
private,ส่วนตัว
Jessica,เจสสิก้า
box,กล่อง
Dawson,ดอว์สัน
cover,ปิดบัง
judge,ผู้พิพากษา
upstairs,ชั้นบน
Alexis,อเล็กซิส
Shawn,ชอว์น
sake,เหล้าสาเก
mommy,แม่
possibly,อาจจะ
worst,แย่ที่สุด
